Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Duracao,Status_Evento
SYD5G53,Patio Carregado INO,31/07/2025 21:15,31/07/2025 21:19,4m,Saiu da cerca
SYD5G35,Enlonamento RRP,31/07/2025 21:22,31/07/2025 21:33,11m,Saiu da cerca
SYD5G06,Descarga INO,31/07/2025 21:05,31/07/2025 21:23,17m,Saiu da cerca
SYD5G06,Desc. INO,31/07/2025 21:05,31/07/2025 21:23,17m,Saiu da cerca
SYD5G30,Enlonamento RRP,31/07/2025 21:23,31/07/2025 21:26,2m,Saiu da cerca
SYL5J46,PA AGUA CLARA,31/07/2025 21:25,31/07/2025 21:40,15m,Saiu da cerca
SYD5G06,Descarga INO,31/07/2025 21:25,31/07/2025 21:27,2m,Saiu da cerca
SYD5G06,Terminal Inocencia,31/07/2025 21:25,31/07/2025 21:36,10m,Saiu da cerca
SYD5G06,Patio Vazio INO,31/07/2025 21:25,31/07/2025 21:27,2m,Saiu da cerca
SYD5G06,Descarga Inocencia,31/07/2025 21:25,31/07/2025 21:38,12m,Saiu da cerca
SYD5G06,Patio Carregado INO,31/07/2025 21:27,31/07/2025 21:36,8m,Saiu da cerca
RWD4B32,Agua Clara,31/07/2025 21:27,31/07/2025 22:27,59m,Saiu da cerca
SYE7D12,Agua Clara,31/07/2025 21:29,31/07/2025 21:49,20m,Saiu da cerca
SYD5G57,Enlonamento RRP,31/07/2025 21:29,31/07/2025 21:30,1m,Saiu da cerca
SYD5G32,Carregamento RRp,31/07/2025 21:30,31/07/2025 21:39,8m,Saiu da cerca
SYD5G56,Desc. INO,31/07/2025 21:10,31/07/2025 21:30,20m,Saiu da cerca
SYD5G02,Descarga INO,31/07/2025 21:29,31/07/2025 22:14,44m,Saiu da cerca
SYD5G02,Patio Vazio INO,31/07/2025 21:29,31/07/2025 21:45,15m,Saiu da cerca
SYD5G36,Terminal Inocencia,31/07/2025 21:27,01/08/2025 09:55,12h 28m,Saiu da cerca
SYD5G36,Patio Carregado INO,31/07/2025 21:27,31/07/2025 22:00,33m,Saiu da cerca
SYD5G36,Descarga Inocencia,31/07/2025 21:27,01/08/2025 09:57,12h 30m,Saiu da cerca
SYD5G57,Enlonamento RRP,31/07/2025 21:33,31/07/2025 21:36,2m,Saiu da cerca
SYD5G18,Carregamento RRp,31/07/2025 21:34,31/07/2025 21:49,15m,Saiu da cerca
SYD5G18,Carregamento Fabrica RRP,31/07/2025 21:34,31/07/2025 23:16,1h 42m,Saiu da cerca
SMG9E17,Oficina JSL,31/07/2025 21:36,31/07/2025 22:19,43m,Saiu da cerca
SYD5G24,Buffer frotas ,31/07/2025 21:38,31/07/2025 22:00,22m,Saiu da cerca
SMG2D73,Descarga Inocencia,31/07/2025 21:32,31/07/2025 21:34,2m,Saiu da cerca
SYD5G56,Descarga INO,31/07/2025 21:34,31/07/2025 21:36,2m,Saiu da cerca
SYD5G56,Terminal Inocencia,31/07/2025 21:34,31/07/2025 21:52,17m,Saiu da cerca
SYD5G56,Patio Vazio INO,31/07/2025 21:34,31/07/2025 21:36,2m,Saiu da cerca
SYD5G56,Descarga Inocencia,31/07/2025 21:34,31/07/2025 21:55,20m,Saiu da cerca
SYD5G56,Patio Carregado INO,31/07/2025 21:36,31/07/2025 21:52,15m,Saiu da cerca
SYD5G28,Agua Clara,31/07/2025 21:39,31/07/2025 21:47,8m,Saiu da cerca
SYD5F96,Agua Clara,31/07/2025 21:40,01/08/2025 02:29,4h 49m,Saiu da cerca
SYL4A15,Agua Clara,31/07/2025 21:40,31/07/2025 22:01,21m,Saiu da cerca
SYD5G52,Descarga INO,31/07/2025 21:34,31/07/2025 22:05,30m,Saiu da cerca
SYD5G19,Descarga Inocencia,31/07/2025 21:30,31/07/2025 23:09,1h 39m,Saiu da cerca
SYD5G35,Enlonamento RRP,31/07/2025 21:41,31/07/2025 21:44,2m,Saiu da cerca
SYE7D10,Desc. INO,31/07/2025 21:31,31/07/2025 21:39,8m,Saiu da cerca
SYD5F91,Desc. INO,31/07/2025 21:23,31/07/2025 21:40,16m,Saiu da cerca
SYD5G34,Agua Clara,31/07/2025 21:42,31/07/2025 22:07,25m,Saiu da cerca
SYD5G57,Enlonamento RRP,31/07/2025 21:42,31/07/2025 21:53,10m,Saiu da cerca
SYE7D10,Descarga INO,31/07/2025 21:41,31/07/2025 21:43,1m,Saiu da cerca
SYE7D10,Terminal Inocencia,31/07/2025 21:41,01/08/2025 03:20,5h 38m,Saiu da cerca
SYE7D10,Patio Vazio INO,31/07/2025 21:41,31/07/2025 21:43,1m,Saiu da cerca
SYE7D10,Descarga Inocencia,31/07/2025 21:41,01/08/2025 03:22,5h 40m,Saiu da cerca
SYD5F96,PA AGUA CLARA,31/07/2025 21:44,01/08/2025 01:05,3h 21m,Saiu da cerca
SYE7D10,Patio Carregado INO,31/07/2025 21:43,01/08/2025 03:20,5h 36m,Saiu da cerca
SYD5G35,Buffer frotas ,31/07/2025 21:44,31/07/2025 21:58,14m,Saiu da cerca
SYD5G30,Carregamento RRp,31/07/2025 21:44,31/07/2025 21:59,14m,Saiu da cerca
SYD5G48,Agua Clara,31/07/2025 21:45,31/07/2025 21:56,11m,Saiu da cerca
SYD5G38,Agua Clara,31/07/2025 21:49,31/07/2025 21:57,8m,Saiu da cerca
SYD5F91,Descarga INO,31/07/2025 21:42,31/07/2025 21:44,2m,Saiu da cerca
SYD5F91,Terminal Inocencia,31/07/2025 21:42,31/07/2025 21:52,10m,Saiu da cerca
SYD5F91,Patio Vazio INO,31/07/2025 21:42,31/07/2025 21:44,2m,Saiu da cerca
SYD5F91,Patio Carregado INO,31/07/2025 21:44,31/07/2025 21:52,8m,Saiu da cerca
SYD5F89,Desc. INO,31/07/2025 21:23,31/07/2025 21:49,25m,Saiu da cerca
SYD5G50,Terminal Inocencia,31/07/2025 21:46,31/07/2025 23:18,1h 32m,Saiu da cerca
SYD5G50,Patio Carregado INO,31/07/2025 21:46,31/07/2025 22:33,46m,Saiu da cerca
SYD5G50,Descarga Inocencia,31/07/2025 21:46,31/07/2025 23:20,1h 34m,Saiu da cerca
SMG9I17,Agua Clara,31/07/2025 21:48,01/08/2025 00:53,3h 4m,Saiu da cerca
SYD5G32,Carregamento RRp,31/07/2025 21:54,31/07/2025 22:22,28m,Saiu da cerca
SYD5G57,Buffer frotas ,31/07/2025 21:54,31/07/2025 22:06,11m,Saiu da cerca
SYD5G04,Agua Clara,31/07/2025 21:54,01/08/2025 01:34,3h 39m,Saiu da cerca
SYD5F89,Descarga INO,31/07/2025 21:53,31/07/2025 21:54,1m,Saiu da cerca
SYD5F89,Terminal Inocencia,31/07/2025 21:53,31/07/2025 21:54,1m,Saiu da cerca
SYD5F89,Patio Vazio INO,31/07/2025 21:53,31/07/2025 21:54,1m,Saiu da cerca
SYD5F89,Descarga Inocencia,31/07/2025 21:53,31/07/2025 21:56,3m,Saiu da cerca
SYD5G63,Terminal Inocencia,31/07/2025 21:49,31/07/2025 23:26,1h 36m,Saiu da cerca
SYD5G63,Patio Carregado INO,31/07/2025 21:49,31/07/2025 22:41,52m,Saiu da cerca
SYD5G63,Descarga Inocencia,31/07/2025 21:49,31/07/2025 23:28,1h 38m,Saiu da cerca
SYL5J46,PA AGUA CLARA,31/07/2025 21:59,31/07/2025 22:18,19m,Saiu da cerca
SYD5G27,Agua Clara,31/07/2025 22:00,31/07/2025 22:08,8m,Saiu da cerca
FOW8J57,Descarga INO,31/07/2025 21:54,31/07/2025 22:22,28m,Saiu da cerca
FOW8J57,Patio Vazio INO,31/07/2025 21:54,31/07/2025 22:11,16m,Saiu da cerca
SYD5G36,Descarga INO,31/07/2025 22:00,31/07/2025 22:33,32m,Saiu da cerca
SYD5G36,Patio Vazio INO,31/07/2025 22:00,31/07/2025 22:12,12m,Saiu da cerca
SYD5G19,Terminal Inocencia,31/07/2025 21:32,31/07/2025 23:05,1h 33m,Saiu da cerca
SYD5G19,Patio Carregado INO,31/07/2025 21:32,31/07/2025 22:30,58m,Saiu da cerca
SYD5G58,Agua Clara,31/07/2025 22:03,31/07/2025 22:30,27m,Saiu da cerca
SYD5G31,Terminal Inocencia,31/07/2025 21:57,01/08/2025 00:43,2h 45m,Saiu da cerca
SYD5G31,Patio Carregado INO,31/07/2025 21:57,31/07/2025 22:45,48m,Saiu da cerca
SYD5G31,Descarga Inocencia,31/07/2025 21:57,01/08/2025 00:47,2h 49m,Saiu da cerca
SYD5G52,Desc. INO,31/07/2025 21:53,31/07/2025 22:05,11m,Saiu da cerca
SYL4A18,Agua Clara,31/07/2025 22:01,31/07/2025 22:35,34m,Saiu da cerca
SYD5G04,PA AGUA CLARA,31/07/2025 22:03,01/08/2025 01:34,3h 30m,Saiu da cerca
SMG9C17,Descarga Inocencia,31/07/2025 21:58,31/07/2025 23:45,1h 47m,Saiu da cerca
SMG6H57,Abastecimento Frotas RRP,31/07/2025 22:05,31/07/2025 22:18,12m,Saiu da cerca
SYD5G02,Desc. INO,31/07/2025 21:45,31/07/2025 22:14,29m,Saiu da cerca
SYD5G52,Patio Carregado INO,31/07/2025 22:05,31/07/2025 22:16,11m,Saiu da cerca
SMG9C17,Terminal Inocencia,31/07/2025 22:00,31/07/2025 23:44,1h 43m,Saiu da cerca
SMG9C17,Patio Carregado INO,31/07/2025 22:00,31/07/2025 23:08,1h 7m,Saiu da cerca
SYD5G30,Carregamento RRp,31/07/2025 22:06,31/07/2025 22:08,2m,Saiu da cerca
QTQ0F44,Terminal Inocencia,31/07/2025 22:02,31/07/2025 23:46,1h 44m,Saiu da cerca
QTQ0F44,Patio Carregado INO,31/07/2025 22:02,31/07/2025 23:30,1h 28m,Saiu da cerca
QTQ0F44,Descarga Inocencia,31/07/2025 22:02,31/07/2025 23:46,1h 44m,Saiu da cerca
SYD5G67,Agua Clara,31/07/2025 22:06,31/07/2025 22:17,10m,Saiu da cerca
SYD5G01,Abastecimento Frotas RRP,31/07/2025 22:07,31/07/2025 22:19,11m,Saiu da cerca
SYD5G01,Pro LOG,31/07/2025 22:07,31/07/2025 22:19,11m,Saiu da cerca
SMG6H57,Pro LOG,31/07/2025 22:07,31/07/2025 22:18,10m,Saiu da cerca
SYD5F90,Abastecimento Frotas RRP,31/07/2025 22:07,31/07/2025 22:19,11m,Saiu da cerca
SYD5F90,Pro LOG,31/07/2025 22:07,31/07/2025 22:19,11m,Saiu da cerca
SYL4A18,PA AGUA CLARA,31/07/2025 22:10,31/07/2025 22:33,23m,Saiu da cerca
SYE7D14,Abastecimento Frotas RRP,31/07/2025 22:13,31/07/2025 22:25,12m,Saiu da cerca
SYD5G02,Patio Carregado INO,31/07/2025 22:14,31/07/2025 22:17,3m,Saiu da cerca
SYD5G44,Descarga INO,31/07/2025 22:09,31/07/2025 22:36,26m,Saiu da cerca
SYD5G44,Patio Vazio INO,31/07/2025 22:09,31/07/2025 22:16,6m,Saiu da cerca
SYE7D14,Pro LOG,31/07/2025 22:16,31/07/2025 22:25,8m,Saiu da cerca
SYD5G51,Posto Mutum,31/07/2025 22:17,31/07/2025 22:19,2m,Saiu da cerca
SYD5G01,Carregamento Fabrica RRP,31/07/2025 22:19,31/07/2025 23:05,46m,Saiu da cerca
SYE7D13,Descarga INO,31/07/2025 22:06,31/07/2025 22:24,18m,Saiu da cerca
SYE7D13,Desc. INO,31/07/2025 22:06,31/07/2025 22:24,18m,Saiu da cerca
SYD5G30,Carregamento RRp,31/07/2025 22:21,31/07/2025 22:42,20m,Saiu da cerca
FOW8J57,Desc. INO,31/07/2025 22:11,31/07/2025 22:22,11m,Saiu da cerca
SMG9E17,Oficina JSL,31/07/2025 22:21,31/07/2025 22:23,2m,Saiu da cerca
SYD5G65,Posto Mutum,31/07/2025 22:21,31/07/2025 22:23,2m,Saiu da cerca
SMG6H57,Carregamento Fabrica RRP,31/07/2025 22:22,31/07/2025 23:33,1h 11m,Saiu da cerca
SMG6H57,Enlonamento RRP,31/07/2025 22:22,31/07/2025 22:30,8m,Saiu da cerca
SYD5F90,Carregamento Fabrica RRP,31/07/2025 22:22,31/07/2025 23:28,1h 5m,Saiu da cerca
SYD5F90,Enlonamento RRP,31/07/2025 22:22,31/07/2025 22:30,8m,Saiu da cerca
SYL4A20,Carregamento Fabrica RRP,31/07/2025 22:22,31/07/2025 22:43,20m,Saiu da cerca
SYL4A20,Enlonamento RRP,31/07/2025 22:22,31/07/2025 22:40,17m,Saiu da cerca
SYD5G01,Enlonamento RRP,31/07/2025 22:23,31/07/2025 22:25,2m,Saiu da cerca
FOW8J57,Patio Carregado INO,31/07/2025 22:22,31/07/2025 22:32,10m,Saiu da cerca
SYE7D14,Carregamento Fabrica RRP,31/07/2025 22:25,31/07/2025 23:48,1h 23m,Saiu da cerca
SYE7D13,Patio Carregado INO,31/07/2025 22:24,01/08/2025 19:02,20h 37m,Saiu da cerca
SYE7D14,Enlonamento RRP,31/07/2025 22:25,31/07/2025 22:36,10m,Saiu da cerca
SYD5F95,Agua Clara,31/07/2025 22:27,31/07/2025 22:40,13m,Saiu da cerca
SYD5G36,Desc. INO,31/07/2025 22:12,31/07/2025 22:33,20m,Saiu da cerca
SYD5G32,Enlonamento RRP,31/07/2025 22:24,31/07/2025 22:28,4m,Saiu da cerca
RWB3C06,Agua Clara,31/07/2025 22:31,31/07/2025 23:11,40m,Saiu da cerca
SMH0F11,Agua Clara,31/07/2025 22:32,31/07/2025 23:11,39m,Saiu da cerca
SYD5G01,Carregamento RRp,31/07/2025 22:32,31/07/2025 22:41,9m,Saiu da cerca
SMG9E17,Abastecimento Frotas RRP,31/07/2025 22:32,31/07/2025 22:48,15m,Saiu da cerca
SMG9E17,Pro LOG,31/07/2025 22:32,31/07/2025 22:48,15m,Saiu da cerca
SMG6H57,Carregamento RRp,31/07/2025 22:33,31/07/2025 22:33,0m,Saiu da cerca
SYD5F95,PA AGUA CLARA,31/07/2025 22:35,31/07/2025 22:40,5m,Saiu da cerca
SYD5G44,Desc. INO,31/07/2025 22:25,31/07/2025 22:36,10m,Saiu da cerca
SYD5G36,Patio Carregado INO,31/07/2025 22:33,01/08/2025 09:55,11h 22m,Saiu da cerca
SYD5G50,Descarga INO,31/07/2025 22:33,31/07/2025 23:12,39m,Saiu da cerca
SYD5G50,Patio Vazio INO,31/07/2025 22:33,31/07/2025 22:48,15m,Saiu da cerca
SYE4C10,Agua Clara,31/07/2025 22:40,31/07/2025 22:46,6m,Saiu da cerca
SYD5G21,Agua Clara,31/07/2025 22:40,31/07/2025 22:53,12m,Saiu da cerca
SYD5F95,Agua Clara,31/07/2025 22:41,31/07/2025 22:42,0m,Saiu da cerca
SYD5F95,PA AGUA CLARA,31/07/2025 22:41,31/07/2025 22:42,0m,Saiu da cerca
SMG6H57,Carregamento RRp,31/07/2025 22:41,31/07/2025 23:04,22m,Saiu da cerca
SYD5G30,Enlonamento RRP,31/07/2025 22:42,31/07/2025 22:43,1m,Saiu da cerca
SYL4A20,Buffer frotas ,31/07/2025 22:43,31/07/2025 23:22,39m,Saiu da cerca
SYD5G44,Terminal Inocencia,31/07/2025 22:43,01/08/2025 05:54,7h 11m,Saiu da cerca
SYD5G44,Patio Carregado INO,31/07/2025 22:43,01/08/2025 05:54,7h 11m,Saiu da cerca
SYD5G32,Buffer frotas ,31/07/2025 22:43,31/07/2025 23:07,23m,Saiu da cerca
SYD5G33,Terminal Inocencia,31/07/2025 22:38,31/07/2025 23:50,1h 12m,Saiu da cerca
SYD5G33,Patio Carregado INO,31/07/2025 22:38,31/07/2025 23:10,32m,Saiu da cerca
SYD5G33,Descarga Inocencia,31/07/2025 22:38,31/07/2025 23:54,1h 16m,Saiu da cerca
SYD5F95,Agua Clara,31/07/2025 22:43,31/07/2025 22:52,8m,Saiu da cerca
SYD5F95,PA AGUA CLARA,31/07/2025 22:43,31/07/2025 22:52,8m,Saiu da cerca
SYD5G61,Agua Clara,31/07/2025 22:40,31/07/2025 22:52,12m,Saiu da cerca
SYD5G35,Posto Mutum,31/07/2025 22:46,31/07/2025 22:48,2m,Saiu da cerca
SYD5G31,Descarga INO,31/07/2025 22:45,31/07/2025 23:10,25m,Saiu da cerca
SYD5G31,Patio Vazio INO,31/07/2025 22:45,31/07/2025 23:05,19m,Saiu da cerca
SYD5G51,Agua Clara,31/07/2025 22:49,31/07/2025 22:55,5m,Saiu da cerca
SYD5G65,Agua Clara,31/07/2025 22:49,01/08/2025 00:31,1h 41m,Saiu da cerca
SMG9E17,Carregamento Fabrica RRP,31/07/2025 22:50,01/08/2025 00:00,1h 10m,Saiu da cerca
SMG9E17,Enlonamento RRP,31/07/2025 22:50,31/07/2025 23:01,11m,Saiu da cerca
SYD5F99,Agua Clara,31/07/2025 22:51,01/08/2025 04:06,5h 14m,Saiu da cerca
SYD5F90,Carregamento RRp,31/07/2025 22:51,31/07/2025 23:13,21m,Saiu da cerca
SYD5G01,Enlonamento RRP,31/07/2025 22:51,31/07/2025 22:53,2m,Saiu da cerca
SYD5G51,PA AGUA CLARA,31/07/2025 22:51,31/07/2025 22:55,3m,Saiu da cerca
SYD5G19,Descarga INO,31/07/2025 22:30,31/07/2025 23:01,31m,Saiu da cerca
SYD5G19,Patio Vazio INO,31/07/2025 22:30,31/07/2025 22:46,16m,Saiu da cerca
SYD5G19,Desc. INO,31/07/2025 22:46,31/07/2025 23:01,15m,Saiu da cerca
SMG9B17,Agua Clara,31/07/2025 22:51,31/07/2025 22:59,8m,Saiu da cerca
SYD5F93,Agua Clara,31/07/2025 22:55,31/07/2025 23:04,9m,Saiu da cerca
SYD5G65,PA AGUA CLARA,31/07/2025 22:55,01/08/2025 00:25,1h 29m,Saiu da cerca
SMG2D73,Descarga INO,31/07/2025 22:41,31/07/2025 22:55,14m,Saiu da cerca
SMG2D73,Terminal Inocencia,31/07/2025 22:41,31/07/2025 23:09,27m,Saiu da cerca
SMG2D73,Desc. INO,31/07/2025 22:41,31/07/2025 22:59,17m,Saiu da cerca
SMG2D73,Descarga Inocencia,31/07/2025 22:41,31/07/2025 23:19,37m,Saiu da cerca
SYD5G51,Agua Clara,31/07/2025 22:56,31/07/2025 22:57,0m,Saiu da cerca
SYD5G51,PA AGUA CLARA,31/07/2025 22:56,31/07/2025 22:57,0m,Saiu da cerca
SYD5G25,Agua Clara,31/07/2025 22:57,01/08/2025 00:08,1h 10m,Saiu da cerca
SYD5F99,PA AGUA CLARA,31/07/2025 23:00,01/08/2025 04:06,5h 5m,Saiu da cerca
SYD5G37,Abastecimento Frotas RRP,31/07/2025 23:02,31/07/2025 23:10,8m,Saiu da cerca
SYD5G37,Pro LOG,31/07/2025 23:02,31/07/2025 23:10,8m,Saiu da cerca
SYD5G19,Patio Vazio INO,31/07/2025 23:01,31/07/2025 23:05,4m,Saiu da cerca
SYD5G28,Abastecimento Frotas RRP,31/07/2025 23:02,31/07/2025 23:13,10m,Saiu da cerca
SYD5G28,Pro LOG,31/07/2025 23:02,31/07/2025 23:13,10m,Saiu da cerca
SYD5F93,PA AGUA CLARA,31/07/2025 23:03,31/07/2025 23:04,1m,Saiu da cerca
SMG6H57,Enlonamento RRP,31/07/2025 23:04,31/07/2025 23:06,2m,Saiu da cerca
SYD5G63,Descarga INO,31/07/2025 22:41,31/07/2025 23:06,25m,Saiu da cerca
SYD5G63,Patio Vazio INO,31/07/2025 22:41,31/07/2025 22:49,8m,Saiu da cerca
SYD5G30,Carregamento Fabrica RRP,31/07/2025 22:55,31/07/2025 22:58,2m,Saiu da cerca
SYD5G30,Enlonamento RRP,31/07/2025 22:55,31/07/2025 22:56,0m,Saiu da cerca
SYD5G30,Buffer frotas ,31/07/2025 22:58,31/07/2025 23:05,7m,Saiu da cerca
SYE7D14,Carregamento RRp,31/07/2025 23:05,31/07/2025 23:20,15m,Saiu da cerca
SYD5F93,Agua Clara,31/07/2025 23:05,31/07/2025 23:13,8m,Saiu da cerca
SYD5F93,PA AGUA CLARA,31/07/2025 23:05,31/07/2025 23:13,8m,Saiu da cerca
SYD5G63,Desc. INO,31/07/2025 22:49,31/07/2025 23:06,17m,Saiu da cerca
SYD5G25,PA AGUA CLARA,31/07/2025 23:07,01/08/2025 00:08,1h 0m,Saiu da cerca
SYE7D16,Agua Clara,31/07/2025 23:07,31/07/2025 23:16,9m,Saiu da cerca
SYD5G16,Terminal Inocencia,31/07/2025 23:03,01/08/2025 06:05,7h 2m,Saiu da cerca
SYD5G16,Patio Carregado INO,31/07/2025 23:03,31/07/2025 23:26,22m,Saiu da cerca
SYD5G16,Descarga Inocencia,31/07/2025 23:03,01/08/2025 06:09,7h 6m,Saiu da cerca
SYD5G51,Agua Clara,31/07/2025 23:08,01/08/2025 05:20,6h 12m,Saiu da cerca
SYD5G51,PA AGUA CLARA,31/07/2025 23:08,01/08/2025 05:12,6h 4m,Saiu da cerca
SYL4A15,Oficina JSL,31/07/2025 23:09,31/07/2025 23:55,46m,Saiu da cerca
SMG2D73,Descarga INO,31/07/2025 22:57,31/07/2025 23:01,4m,Saiu da cerca
SMG2D73,Patio Vazio INO,31/07/2025 22:59,31/07/2025 23:09,10m,Saiu da cerca
SYD5G38,Abastecimento Frotas RRP,31/07/2025 23:09,31/07/2025 23:17,8m,Saiu da cerca
SYD5G38,Pro LOG,31/07/2025 23:09,31/07/2025 23:17,8m,Saiu da cerca
SYD5F95,Agua Clara,31/07/2025 23:03,31/07/2025 23:24,20m,Saiu da cerca
SYD5F95,PA AGUA CLARA,31/07/2025 23:03,31/07/2025 23:22,18m,Saiu da cerca
SYD5G50,Desc. INO,31/07/2025 22:48,31/07/2025 23:12,23m,Saiu da cerca
SYD5G22,Descarga Inocencia,31/07/2025 22:26,31/07/2025 23:56,1h 30m,Saiu da cerca
SYD5G22,Terminal Inocencia,31/07/2025 22:28,31/07/2025 23:50,1h 22m,Saiu da cerca
SYD5G22,Patio Carregado INO,31/07/2025 22:28,31/07/2025 22:55,26m,Saiu da cerca
SYD5G22,Descarga INO,31/07/2025 22:55,31/07/2025 23:44,49m,Saiu da cerca
SYD5G22,Patio Vazio INO,31/07/2025 22:55,31/07/2025 23:22,26m,Saiu da cerca
SYD5G63,Patio Vazio INO,31/07/2025 23:06,31/07/2025 23:07,0m,Saiu da cerca
SYD5G63,Patio Carregado INO,31/07/2025 23:07,31/07/2025 23:26,18m,Saiu da cerca
SYD5G37,Carregamento Fabrica RRP,31/07/2025 23:12,01/08/2025 00:10,57m,Saiu da cerca
SYD5G37,Enlonamento RRP,31/07/2025 23:13,31/07/2025 23:20,6m,Saiu da cerca
SYD5G50,Patio Carregado INO,31/07/2025 23:12,31/07/2025 23:18,6m,Saiu da cerca
SYD5F90,Enlonamento RRP,31/07/2025 23:13,31/07/2025 23:28,14m,Saiu da cerca
SYD5G28,Carregamento Fabrica RRP,31/07/2025 23:14,01/08/2025 00:14,59m,Saiu da cerca
SYD5G53,Agua Clara,31/07/2025 23:15,31/07/2025 23:38,23m,Saiu da cerca
SYD5G35,Agua Clara,31/07/2025 23:15,01/08/2025 01:23,2h 8m,Saiu da cerca
SYD5G01,Buffer frotas ,31/07/2025 23:15,31/07/2025 23:26,11m,Saiu da cerca
SYD5F93,Agua Clara,31/07/2025 23:15,31/07/2025 23:18,2m,Saiu da cerca
SYD5G33,Descarga INO,31/07/2025 23:10,31/07/2025 23:42,32m,Saiu da cerca
SYD5G33,Patio Vazio INO,31/07/2025 23:10,31/07/2025 23:28,18m,Saiu da cerca
SMG9E17,Carregamento RRp,31/07/2025 23:17,31/07/2025 23:32,14m,Saiu da cerca
SYD5G38,Carregamento Fabrica RRP,31/07/2025 23:18,01/08/2025 00:15,57m,Saiu da cerca
SYD5G38,Enlonamento RRP,31/07/2025 23:18,31/07/2025 23:30,12m,Saiu da cerca
SYD5G35,PA AGUA CLARA,31/07/2025 23:19,01/08/2025 01:15,1h 56m,Saiu da cerca
SYD5G27,Abastecimento Frotas RRP,31/07/2025 23:20,31/07/2025 23:27,7m,Saiu da cerca
SYD5G27,Pro LOG,31/07/2025 23:20,31/07/2025 23:27,7m,Saiu da cerca
SYE7D14,Enlonamento RRP,31/07/2025 23:20,31/07/2025 23:21,0m,Saiu da cerca
SYD5G05,Descarga INO,31/07/2025 22:45,31/07/2025 23:22,37m,Saiu da cerca
SYD5G05,Patio Vazio INO,31/07/2025 22:45,31/07/2025 22:52,7m,Saiu da cerca
SYD5G24,Agua Clara,31/07/2025 23:22,01/08/2025 07:56,8h 34m,Saiu da cerca
SYD5G37,Carregamento RRp,31/07/2025 23:22,31/07/2025 23:24,2m,Saiu da cerca
SYD5G05,Desc. INO,31/07/2025 22:52,31/07/2025 23:22,30m,Saiu da cerca
SYD5G05,Patio Carregado INO,31/07/2025 23:22,31/07/2025 23:34,12m,Saiu da cerca
SYD5G57,Agua Clara,31/07/2025 23:23,31/07/2025 23:31,8m,Saiu da cerca
SYD5G31,Desc. INO,31/07/2025 23:05,31/07/2025 23:24,19m,Saiu da cerca
SYD5G31,Descarga INO,31/07/2025 23:22,31/07/2025 23:24,2m,Saiu da cerca
SYD5G31,Patio Carregado INO,31/07/2025 23:24,01/08/2025 00:43,1h 18m,Saiu da cerca
SYD5G24,PA AGUA CLARA,31/07/2025 23:25,01/08/2025 05:58,6h 33m,Saiu da cerca
SYD5G37,Carregamento RRp,31/07/2025 23:26,31/07/2025 23:33,6m,Saiu da cerca
QUA0J34,Agua Clara,31/07/2025 23:27,01/08/2025 03:16,3h 49m,Saiu da cerca
SYD5G16,Descarga INO,31/07/2025 23:26,01/08/2025 00:01,35m,Saiu da cerca
SYD5G16,Patio Vazio INO,31/07/2025 23:26,31/07/2025 23:38,12m,Saiu da cerca
SYD5G15,Descarga INO,31/07/2025 23:27,31/07/2025 23:51,24m,Saiu da cerca
SYD5G15,Patio Vazio INO,31/07/2025 23:27,31/07/2025 23:34,7m,Saiu da cerca
SYD5G27,Carregamento Fabrica RRP,31/07/2025 23:28,01/08/2025 00:52,1h 24m,Saiu da cerca
SYD5F90,Buffer frotas ,31/07/2025 23:28,31/07/2025 23:50,21m,Saiu da cerca
SYD5G67,Abastecimento Frotas RRP,31/07/2025 23:29,31/07/2025 23:38,8m,Saiu da cerca
SYD5G67,Pro LOG,31/07/2025 23:29,31/07/2025 23:38,8m,Saiu da cerca
SMG5F48,Agua Clara,31/07/2025 23:30,31/07/2025 23:36,6m,Saiu da cerca
SMG9C17,Descarga INO,31/07/2025 23:08,31/07/2025 23:32,24m,Saiu da cerca
SMG9C17,Patio Vazio INO,31/07/2025 23:08,31/07/2025 23:22,14m,Saiu da cerca
SMG9C17,Desc. INO,31/07/2025 23:22,31/07/2025 23:31,9m,Saiu da cerca
SYE7D14,Enlonamento RRP,31/07/2025 23:33,31/07/2025 23:35,2m,Saiu da cerca
SMG9E17,Enlonamento RRP,31/07/2025 23:34,31/07/2025 23:45,11m,Saiu da cerca
SMG6H57,Buffer frotas ,31/07/2025 23:34,31/07/2025 23:54,19m,Saiu da cerca
QTQ0F44,Descarga INO,31/07/2025 23:30,31/07/2025 23:46,15m,Saiu da cerca
QTQ0F44,Desc. INO,31/07/2025 23:30,31/07/2025 23:46,15m,Saiu da cerca
SMG9C17,Patio Vazio INO,31/07/2025 23:31,31/07/2025 23:32,0m,Saiu da cerca
RWD4B32,Carregamento Fabrica RRP,31/07/2025 23:40,01/08/2025 01:17,1h 37m,Saiu da cerca
RWD4B32,Enlonamento RRP,31/07/2025 23:40,31/07/2025 23:53,13m,Saiu da cerca
SYD5G67,Carregamento Fabrica RRP,31/07/2025 23:40,01/08/2025 00:46,1h 5m,Saiu da cerca
SYD5G67,Enlonamento RRP,31/07/2025 23:40,31/07/2025 23:48,8m,Saiu da cerca
SYD5G28,Carregamento RRp,31/07/2025 23:41,01/08/2025 00:01,20m,Saiu da cerca
