Placa_Veiculo,Filial,Descricao_POI,Data_Entrada,Data_Saida,Status,Duracao
BXR5C46,TLA - TRANSP. CELULOSE,MANUTENCAO-AOKI,2025-07-28 10:20:33,2025-07-30 16:18:19,Saiu da cerca,2d 5h 57m
SOE4B77,TLA - TRANSP. CELULOSE,MANUTENCAO-GRANFER,2025-07-28 16:45:44,2025-08-01 08:45:17,Saiu da cerca,3d 15h 59m
GCR32,TLA - TRANSP. CELULOSE,PROJETO PIATA,2025-07-28 17:23:50,2025-07-31 09:21:57,Saiu da cerca,2d 15h 58m
RWJ8D41,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-28 18:14:16,2025-07-31 07:56:09,Saiu da cerca,2d 13h 41m
RTU1A42,TLA - TRANSP. CELULOSE,Descarga TAP,2025-07-28 13:57:00,2025-07-29 00:54:52,Saiu da cerca,10h 57m
GCR31,TLA - TRANSP. CELULOSE,PROJETO PIATA,2025-07-28 16:36:42,2025-07-31 09:44:34,Saiu da cerca,2d 17h 7m
GCR19,TLA - TRANSP. CELULOSE,PROJETO PIATA,2025-07-28 22:48:59,2025-07-31 11:21:58,Saiu da cerca,2d 12h 32m
JDO4D13,TLA - TRANSP. CELULOSE,Agua Clara,2025-07-29 02:17:10,2025-08-01 07:37:15,Saiu da cerca,3d 5h 20m
RZE3C05,TLA - TRANSP. CELULOSE,MANUTENCAO-ADEVAR FUNILARIA,2025-07-29 07:31:28,2025-07-30 16:02:08,Saiu da cerca,1d 8h 30m
SLZ2D41,TLA - TRANSP. CELULOSE,MONITORAMENTO-TEMPO DE PATIO,2025-07-29 07:45:27,2025-08-02 06:16:32,Saiu da cerca,3d 22h 31m
SMG5F48,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-29 09:16:49,2025-07-30 11:00:34,Saiu da cerca,1d 1h 43m
SMG5F48,TLA - TRANSP. CELULOSE,Manuten¿¿o Geral JSL RRP,2025-07-29 09:16:49,2025-07-30 11:00:34,Saiu da cerca,1d 1h 43m
SGC5C03,TLA - TRANSP. CELULOSE,MANUTENCAO-OFICINA MACK TRUCK,2025-07-29 10:15:36,2025-07-30 12:30:21,Saiu da cerca,1d 2h 14m
SYD5G62,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-29 10:42:40,2025-08-01 09:57:06,Saiu da cerca,2d 23h 14m
RHX5I68,TLA - TRANSP. CELULOSE,MANUTENCAO - UNIDAS,2025-07-29 11:08:21,2025-08-01 08:44:37,Saiu da cerca,2d 21h 36m
SPO5I69,TLA - TRANSP. CELULOSE,MANUTENCAO-INSPTEC,2025-07-29 11:31:44,2025-07-30 15:54:01,Saiu da cerca,1d 4h 22m
GBK1J38,TLA - TRANSP. CELULOSE,MANUTENCAO-AGROLISBOA,2025-07-29 13:26:48,2025-07-31 04:02:36,Saiu da cerca,1d 14h 35m
SYE7D11,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-29 14:49:57,2025-07-30 13:11:50,Saiu da cerca,22h 21m
SLZ1D68,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-29 16:58:39,2025-08-01 11:48:24,Saiu da cerca,2d 18h 49m
JCR1E35,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-29 17:23:31,2025-07-30 16:07:57,Saiu da cerca,22h 44m
RWI4F25,TLA - TRANSP. CELULOSE,MANUTENCAO-VOLVO,2025-07-29 17:32:21,2025-07-30 15:54:11,Saiu da cerca,22h 21m
SEP8C62,TLA - TRANSP. CELULOSE,MANUTENCAO - UNIDAS,2025-07-29 17:37:35,2025-07-30 11:48:57,Saiu da cerca,18h 11m
RWJ8C57,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-29 17:48:07,2025-07-30 07:29:25,Saiu da cerca,13h 41m
SLZ1D72,TLA - TRANSP. CELULOSE,Manutencao JSL RRP,2025-07-29 18:43:25,2025-07-30 15:46:20,Saiu da cerca,21h 2m
SEG4H16,TLA - TRANSP. CELULOSE,PROJETO-CARANDA,2025-07-29 19:10:50,2025-07-30 12:29:53,Saiu da cerca,17h 19m
TDW5B27,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-29 19:54:31,2025-07-30 10:52:32,Saiu da cerca,14h 58m
SYD5G50,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-29 19:59:39,2025-07-30 09:49:35,Saiu da cerca,13h 49m
SLZ2D45,TLA - TRANSP. CELULOSE,EM MANUTENCAO HEXA,2025-07-29 20:27:43,2025-07-30 09:54:53,Saiu da cerca,13h 27m
SEP8C48,TLA - TRANSP. CELULOSE,MANUTENCAO - UNIDAS,2025-07-29 20:41:11,2025-07-30 17:20:03,Saiu da cerca,20h 38m
SYD5G32,TLA - TRANSP. CELULOSE,Terminal Inocencia,2025-07-29 20:59:29,2025-07-30 12:40:46,Saiu da cerca,15h 41m
SYD5G32,TLA - TRANSP. CELULOSE,Patio Carregado INO,2025-07-29 20:59:29,2025-07-30 09:36:18,Saiu da cerca,12h 36m
SYD5G32,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-29 20:59:29,2025-07-30 12:48:02,Saiu da cerca,15h 48m
SEP8C51,TLA - TRANSP. CELULOSE,PATIO SYLVAMO,2025-07-29 22:58:15,2025-07-30 10:18:11,Saiu da cerca,11h 19m
SYD5G10,TLA - TRANSP. CELULOSE,Terminal Inocencia,2025-07-29 23:08:09,2025-07-30 09:31:18,Saiu da cerca,10h 23m
SYD5G10,TLA - TRANSP. CELULOSE,Patio Carregado INO,2025-07-29 23:08:09,2025-07-30 09:31:18,Saiu da cerca,10h 23m
SYD5G10,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-29 23:08:09,2025-07-30 09:31:18,Saiu da cerca,10h 23m
SEL8J12,TLA - TRANSP. CELULOSE,TROCA DE TURNO-PATIO EXTERNO,2025-07-29 23:30:51,2025-07-30 10:26:53,Saiu da cerca,10h 56m
RWC6F43,TLA - TRANSP. CELULOSE,MANUTENCAO-CEMAVI,2025-07-30 00:07:22,2025-07-30 11:30:29,Saiu da cerca,11h 23m
SYD5F90,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-30 00:03:55,2025-07-30 11:06:01,Saiu da cerca,11h 2m
SYD5F90,TLA - TRANSP. CELULOSE,Terminal Inocencia,2025-07-30 00:12:09,2025-07-30 11:02:06,Saiu da cerca,10h 49m
SYD5F90,TLA - TRANSP. CELULOSE,Patio Carregado INO,2025-07-30 00:12:09,2025-07-30 09:34:41,Saiu da cerca,9h 22m
SYE7D12,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-30 00:22:49,2025-07-30 14:30:47,Saiu da cerca,14h 7m
SYE7D12,TLA - TRANSP. CELULOSE,Terminal Inocencia,2025-07-30 00:30:19,2025-07-30 14:28:46,Saiu da cerca,13h 58m
SYE7D12,TLA - TRANSP. CELULOSE,Patio Carregado INO,2025-07-30 00:30:19,2025-07-30 13:36:14,Saiu da cerca,13h 5m
RHE5I48,TLA - TRANSP. CELULOSE,PA Celulose,2025-07-30 01:00:49,2025-07-31 09:33:43,Saiu da cerca,1d 8h 32m
SPO5I19,TLA - TRANSP. CELULOSE,TROCA DE TURNO-PATIO EXTERNO,2025-07-30 01:15:06,2025-07-30 18:10:14,Saiu da cerca,16h 55m
TDO2G44,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-30 01:10:13,2025-07-30 13:59:01,Saiu da cerca,12h 48m
RZL3I44,TLA - TRANSP. CELULOSE,TROCA DE TURNO-SANTA RITA DO RIO PARDO,2025-07-30 01:20:35,2025-07-30 12:24:06,Saiu da cerca,11h 3m
TDO2G59,TLA - TRANSP. CELULOSE,MANUTENCAO-AOKI,2025-07-30 02:05:37,2025-07-30 09:17:49,Saiu da cerca,7h 12m
SYD5F91,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-30 02:31:54,2025-07-30 18:26:23,Saiu da cerca,15h 54m
SES4F84,TLA - TRANSP. CELULOSE,TROCA DE TURNO-PATIO EXTERNO,2025-07-30 02:50:23,2025-07-30 09:45:23,Saiu da cerca,6h 55m
SYD5G27,TLA - TRANSP. CELULOSE,Buffer frotas ,2025-07-30 02:51:18,2025-07-30 11:46:59,Saiu da cerca,8h 55m
TDW4J50,TLA - TRANSP. CELULOSE,PROJETO-MATAO II,2025-07-30 02:51:24,2025-07-30 12:59:00,Saiu da cerca,10h 7m
SYD5G44,TLA - TRANSP. CELULOSE,Buffer frotas ,2025-07-30 03:20:37,2025-07-30 09:24:26,Saiu da cerca,6h 3m
JCR1E33,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-30 03:37:40,2025-07-30 18:50:51,Saiu da cerca,15h 13m
SYE4C10,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-30 03:59:39,2025-07-30 09:33:56,Saiu da cerca,5h 34m
QUA0J34,TLA - TRANSP. CELULOSE,Terminal Inocencia,2025-07-30 04:07:33,2025-07-30 09:32:23,Saiu da cerca,5h 24m
QUA0J34,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-30 04:07:33,2025-07-30 09:32:23,Saiu da cerca,5h 24m
SYD5G52,TLA - TRANSP. CELULOSE,Descarga Inocencia,2025-07-30 04:23:24,2025-07-30 21:39:36,Saiu da cerca,17h 16m
SYE7D13,TLA - TRANSP. CELULOSE,Oficina JSL,2025-07-30 04:24:24,2025-07-30 19:05:31,Saiu da cerca,14h 41m
JBD6I16,TLA - TRANSP. CELULOSE,TRAJETO FABRICA X PA,2025-07-30 03:44:37,2025-07-30 09:24:31,Saiu da cerca,5h 39m
SEP8C66,TLA - TRANSP. CELULOSE,MANUTENCAO - UNIDAS,2025-07-30 04:32:12,2025-07-30 10:23:02,Saiu da cerca,5h 50m
