Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
RRP;SMG9C17;Terminal Inocencia;Terminal;07/08/2025 12:12;;Entrou na cerca;0.0
RRP;SYD5G64;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 08:40;07/08/2025 08:50;Saiu da cerca;0.17
RRP;SYD5G64;Pro LOG;Não Mapeado;07/08/2025 08:40;07/08/2025 08:50;Saiu da cerca;0.17
RRP;SYD5G64;Buffer frotas ;Parada Operacional;07/08/2025 08:50;07/08/2025 09:10;Saiu da cerca;0.32
RRP;SYD5G64;Fábrica;Fábrica;07/08/2025 09:12;07/08/2025 09:54;Saiu da cerca;0.71
RRP;SYD5G64;Carregamento;Carregamento;07/08/2025 09:12;07/08/2025 09:31;Saiu da cerca;0.31
RRP;SYD5G64;Enlonamento RRP;Parada Operacional;07/08/2025 09:39;07/08/2025 09:41;Saiu da cerca;0.03
RRP;SYD5G64;Buffer frotas ;Parada Operacional;07/08/2025 09:48;07/08/2025 10:29;Saiu da cerca;0.67
RRP;SYD5G64;Agua Clara;Parada Operacional;07/08/2025 11:46;07/08/2025 12:16;Saiu da cerca;0.5
RRP;SYD5G64;PA AGUA CLARA;Ponto Apoio;07/08/2025 11:48;07/08/2025 12:08;Saiu da cerca;0.33
RRP;SYD5G65;Posto Mutum;Parada Operacional;07/08/2025 08:56;07/08/2025 09:38;Saiu da cerca;0.71
RRP;SYD5G65;Agua Clara;Parada Operacional;07/08/2025 10:13;07/08/2025 10:26;Saiu da cerca;0.22
RRP;SYD5G65;PA AGUA CLARA;Ponto Apoio;07/08/2025 10:24;07/08/2025 10:26;Saiu da cerca;0.03
RRP;SYD5G65;Posto Mutum;Parada Operacional;07/08/2025 10:26;07/08/2025 10:36;Saiu da cerca;0.18
RRP;SYD5G65;Agua Clara;Parada Operacional;07/08/2025 10:36;07/08/2025 11:50;Saiu da cerca;1.23
RRP;SYD5G65;PA AGUA CLARA;Ponto Apoio;07/08/2025 10:36;07/08/2025 11:42;Saiu da cerca;1.1
RRP;SYD5G67;Descarga Inocencia;Não Mapeado;07/08/2025 06:26;07/08/2025 11:06;Saiu da cerca;4.67
RRP;SYD5G67;Terminal;Terminal;07/08/2025 06:30;07/08/2025 11:04;Saiu da cerca;4.57
RRP;SYD5G67;Descarga;Descarga;07/08/2025 06:30;07/08/2025 10:39;Saiu da cerca;4.16
RRP;SYD5G67;Patio Carregado INO;Parada Operacional;07/08/2025 06:30;07/08/2025 08:07;Saiu da cerca;1.62
RRP;SYD5G67;Descarga INO;Não Mapeado;07/08/2025 08:07;07/08/2025 10:31;Saiu da cerca;2.41
RRP;SYD5G67;Patio Vazio INO;Parada Operacional;07/08/2025 08:07;07/08/2025 09:15;Saiu da cerca;1.13
RRP;SYD5G67;Descarga INO;Não Mapeado;07/08/2025 10:35;07/08/2025 10:39;Saiu da cerca;0.07
RRP;SYD5G67;Patio Vazio INO;Parada Operacional;07/08/2025 10:39;07/08/2025 10:42;Saiu da cerca;0.05
RRP;SYD5G67;Patio Carregado INO;Parada Operacional;07/08/2025 10:42;07/08/2025 11:04;Saiu da cerca;0.36
RRP;SYE4C10;Patio Carregado INO;Parada Operacional;07/08/2025 07:23;07/08/2025 10:12;Saiu da cerca;2.8
RRP;SYE4C10;Descarga INO;Não Mapeado;07/08/2025 10:12;07/08/2025 11:09;Saiu da cerca;0.96
RRP;SYE4C10;Patio Vazio INO;Parada Operacional;07/08/2025 10:12;07/08/2025 10:50;Saiu da cerca;0.65
RRP;SYE4C10;Desc. INO;Descarga;07/08/2025 10:50;07/08/2025 11:25;Saiu da cerca;0.57
RRP;SYE4C10;Descarga INO;Não Mapeado;07/08/2025 11:23;07/08/2025 11:27;Saiu da cerca;0.07
RRP;SYE4C10;Patio Vazio INO;Parada Operacional;07/08/2025 11:25;07/08/2025 11:27;Saiu da cerca;0.03
RRP;SMG9D17;Terminal Inocencia;Terminal;07/08/2025 09:47;;Entrou na cerca;0.0
RRP;SYE7D10;Carregamento Fabrica RRP;Fábrica;07/08/2025 06:59;07/08/2025 08:13;Saiu da cerca;1.24
RRP;SYE7D10;Enlonamento RRP;Parada Operacional;07/08/2025 08:13;07/08/2025 08:13;Saiu da cerca;0.01
RRP;SYE7D10;Buffer frotas ;Parada Operacional;07/08/2025 08:27;07/08/2025 08:49;Saiu da cerca;0.36
RRP;SYE7D10;Agua Clara;Parada Operacional;07/08/2025 10:04;07/08/2025 10:10;Saiu da cerca;0.1
RRP;SYD5G01;Terminal Inocencia;Terminal;07/08/2025 11:03;;Entrou na cerca;0.0
RRP;SYE7D11;Fábrica;Fábrica;07/08/2025 09:11;07/08/2025 09:47;Saiu da cerca;0.59
RRP;SYE7D11;Carregamento;Carregamento;07/08/2025 09:11;07/08/2025 09:31;Saiu da cerca;0.33
RRP;SYE7D11;Enlonamento RRP;Parada Operacional;07/08/2025 09:31;07/08/2025 09:35;Saiu da cerca;0.07
RRP;SYE7D11;Buffer frotas ;Parada Operacional;07/08/2025 09:47;07/08/2025 10:34;Saiu da cerca;0.79
RRP;SYE7D11;Agua Clara;Parada Operacional;07/08/2025 11:59;07/08/2025 12:08;Saiu da cerca;0.15
RRP;SYE7D12;Terminal;Terminal;07/08/2025 06:21;07/08/2025 11:20;Saiu da cerca;4.98
RRP;SYE7D12;Descarga;Descarga;07/08/2025 06:21;07/08/2025 10:10;Saiu da cerca;3.81
RRP;SYE7D12;Patio Carregado INO;Parada Operacional;07/08/2025 06:21;07/08/2025 08:17;Saiu da cerca;1.93
RRP;SYE7D12;Descarga Inocencia;Não Mapeado;07/08/2025 06:21;07/08/2025 11:20;Saiu da cerca;4.98
RRP;SYE7D12;Descarga INO;Não Mapeado;07/08/2025 08:17;07/08/2025 10:10;Saiu da cerca;1.88
RRP;SYE7D12;Patio Vazio INO;Parada Operacional;07/08/2025 08:17;07/08/2025 08:56;Saiu da cerca;0.66
RRP;SYE7D12;Patio Carregado INO;Parada Operacional;07/08/2025 10:10;07/08/2025 11:20;Saiu da cerca;1.17
RRP;SYE7D13;Descarga Inocencia;Não Mapeado;07/08/2025 06:50;07/08/2025 12:24;Saiu da cerca;5.56
RRP;SYE7D13;Terminal;Terminal;07/08/2025 06:55;07/08/2025 12:24;Saiu da cerca;5.49
RRP;SYE7D13;Descarga;Descarga;07/08/2025 06:55;07/08/2025 12:15;Saiu da cerca;5.33
RRP;SYE7D13;Patio Carregado INO;Parada Operacional;07/08/2025 06:55;07/08/2025 10:08;Saiu da cerca;3.23
RRP;SYE7D13;Descarga INO;Não Mapeado;07/08/2025 10:08;07/08/2025 12:09;Saiu da cerca;2.01
RRP;SYE7D13;Patio Vazio INO;Parada Operacional;07/08/2025 10:08;07/08/2025 10:40;Saiu da cerca;0.53
RRP;SYE7D13;Descarga INO;Não Mapeado;07/08/2025 12:11;07/08/2025 12:15;Saiu da cerca;0.05
