Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
RRP,SYD5G56,Descarga Inocencia,Terminal,07/08/2025 07:21:51,07/08/2025 10:27:12,Saiu da cerca,3.09
RRP,SYD5G56,Agua Clara,Agua Clara,07/08/2025 13:27:06,,Entrou na cerca,0.0
RRP,SYD5G56,PA AGUA CLARA,Ponto Apoio,07/08/2025 14:57:24,,Entrou na cerca,0.0
RRP,SYD5G57,Descarga Inocencia,Terminal,07/08/2025 08:51:15,07/08/2025 14:12:38,Saiu da cerca,5.36
TLS,SYD5G60,FILA DESCARGA APT,Terminal,07/08/2025 10:15:53,07/08/2025 11:40:44,Saiu da cerca,1.41
TLS,SYD5G60,Descarga TAP,Terminal,07/08/2025 11:56:06,07/08/2025 12:54:02,Saiu da cerca,0.97
TLS,SYD5G60,SELVIRIA,Selviria,07/08/2025 13:42:29,07/08/2025 13:45:17,Saiu da cerca,0.05
TLS,SYD5G60,MONTANINI,Montanini,07/08/2025 14:39:59,07/08/2025 14:40:34,Saiu da cerca,0.01
RRP,SYD5G61,Descarga Inocencia,Terminal,07/08/2025 11:27:09,,Entrou na cerca,0.0
RRP,SYD5G62,Agua Clara,Agua Clara,07/08/2025 10:44:02,07/08/2025 10:44:55,Saiu da cerca,0.01
RRP,SYD5G62,PA AGUA CLARA,Ponto Apoio,07/08/2025 10:44:02,07/08/2025 10:44:55,Saiu da cerca,0.01
RRP,SYD5G62,Agua Clara,Agua Clara,07/08/2025 10:55:25,07/08/2025 11:46:34,Saiu da cerca,0.85
RRP,SYD5G62,PA AGUA CLARA,Ponto Apoio,07/08/2025 10:55:25,07/08/2025 11:38:33,Saiu da cerca,0.72
RRP,SYD5G63,Descarga Inocencia,Terminal,07/08/2025 11:30:29,,Entrou na cerca,0.0
RRP,SYD5G64,Agua Clara,Agua Clara,07/08/2025 11:46:54,07/08/2025 12:16:50,Saiu da cerca,0.5
RRP,SYD5G64,PA AGUA CLARA,Ponto Apoio,07/08/2025 11:48:55,07/08/2025 12:08:48,Saiu da cerca,0.33
RRP,SYD5G64,Descarga Inocencia,Terminal,07/08/2025 14:22:33,,Entrou na cerca,0.0
RRP,SYD5G65,Agua Clara,Agua Clara,07/08/2025 10:13:10,07/08/2025 10:26:24,Saiu da cerca,0.22
RRP,SYD5G65,PA AGUA CLARA,Ponto Apoio,07/08/2025 10:24:36,07/08/2025 10:26:24,Saiu da cerca,0.03
